filename,datetime,shape_height,shape_width,num_bands,file_size_mb,bounds_left,bounds_right,bounds_bottom,bounds_top
20241201_112719_99_24d5_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-01 11:27:19,5161,935,8,0.15308284759521484,-5.705807282604579,-5.680378597272482,41.35997242880206,41.50033333254425
20241204_112218_28_24bd_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:22:18,4841,314,8,0.07033920288085938,-5.104245011564328,-5.0957553763203824,41.36919393736342,41.500080320216725
20241204_112220_59_24bd_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:22:20,9236,2137,8,68.29165458679199,-5.1503075104611025,-5.091928125815509,41.20256268055076,41.45487526669334
20241204_112222_90_24bd_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:22:22,7537,3575,8,221.34001064300537,-5.193985649385045,-5.093244494941323,41.09835988712207,41.31074760209895
20241204_112225_21_24bd_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:22:25,2079,4143,8,72.39238548278809,-5.2368974791568155,-5.097844611616868,41.09745953275864,41.167237691487955
20241204_112452_73_2523_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:24:52,5540,13382,8,761.5885486602783,-5.656306182213683,-5.198373422201032,41.090491995527046,41.28007109360432
20241204_112455_05_2523_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:24:55,1244,12672,8,26.49965000152588,-5.69791487088081,-5.245875390384848,41.090307468973045,41.134683819488906
20241204_112539_69_24f8_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:25:39,5440,13258,8,727.6274003982544,-5.6288272116078595,-5.174850826113964,41.09068060134451,41.276955419347736
20241204_112541_96_24f8_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-04 11:25:41,1230,12563,8,25.392586708068848,-5.670679977103972,-5.222527418206126,41.09047712892552,41.134354200281436
20241205_104310_50_24c8_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-05 10:43:10,7168,11967,8,815.6592302322388,-5.709456204441868,-5.314546954137995,41.23863837826698,41.47518133023306
20241205_104312_52_24c8_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-05 10:43:12,7245,10970,8,785.1252088546753,-5.709415632048995,-5.352381063165672,41.11158909075633,41.34738812918474
20241205_104314_54_24c8_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-05 10:43:14,3683,9070,8,296.50159740448,-5.704663244761916,-5.3938016475673365,41.093196569763606,41.2194262569155
20241205_112501_72_2518_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-05 11:25:01,5046,8136,8,371.00460624694824,-5.3621926095714985,-5.0949600838694895,41.339363747815256,41.50510309450802
20241205_112504_01_2518_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-05 11:25:04,8147,9974,8,795.0580282211304,-5.406992551311802,-5.091944480120623,41.19580693016132,41.45314567449604
20241205_112506_29_2518_3B_AnalyticMS_SR_8b_clip_reproject.tif,2024-12-05 11:25:06,6610,10815,8,817.278000831604,-5.448459265120048,-5.09327550705098,41.09325776320608,41.310341872391156
